event_id,user_id,session_id,event_ts,event_type,product_id,price
41,8,23,2024-06-29 06:24:38,view,,
42,8,24,2024-07-17 19:00:38,view,,
43,9,25,2024-04-11 23:02:03,view,,
44,9,26,2024-05-04 23:45:03,view,,
45,9,27,2024-04-30 23:25:03,view,,
46,10,28,2024-02-11 19:02:51,view,,
47,10,29,2024-02-24 16:44:51,view,,
48,10,30,2024-02-17 08:58:51,view,,
49,11,31,2024-05-13 12:19:04,view,,
50,11,31,2024-05-13 12:21:04,add_to_cart,175.0,26.7
51,12,32,2024-05-14 08:19:46,view,,
52,12,32,2024-05-14 08:21:46,add_to_cart,104.0,12.56
53,12,33,2024-04-26 23:51:46,view,,
54,12,33,2024-04-26 23:53:46,add_to_cart,162.0,13.41
55,12,33,2024-04-26 23:55:46,checkout,162.0,13.41
56,12,33,2024-04-26 23:57:46,purchase,162.0,13.41
57,12,34,2024-05-01 22:27:46,view,,
58,12,34,2024-05-01 22:29:46,add_to_cart,112.0,20.15
59,12,35,2024-05-05 20:46:46,view,,
60,12,36,2024-05-17 08:09:46,view,,
61,12,37,2024-05-14 09:40:46,view,,
62,12,37,2024-05-14 09:42:46,add_to_cart,143.0,17.21
63,13,38,2024-02-05 10:00:50,view,,
64,13,38,2024-02-05 10:02:50,add_to_cart,159.0,27.38
65,13,38,2024-02-05 10:04:50,checkout,159.0,27.38
66,13,39,2024-02-06 00:00:50,view,,
67,13,39,2024-02-06 00:02:50,add_to_cart,169.0,17.85
68,13,40,2024-01-24 13:17:50,view,,
69,13,40,2024-01-24 13:19:50,add_to_cart,161.0,14.96
70,13,40,2024-01-24 13:21:50,checkout,161.0,14.96
71,13,41,2024-01-23 10:50:50,view,,
72,13,41,2024-01-23 10:52:50,add_to_cart,149.0,40.98
73,13,41,2024-01-23 10:54:50,checkout,149.0,40.98
74,13,42,2024-02-05 14:57:50,view,,
75,14,43,2024-05-31 03:49:05,view,,
76,14,44,2024-06-07 22:28:05,view,,
77,14,44,2024-06-07 22:30:05,add_to_cart,106.0,22.67
78,15,45,2024-04-09 21:47:09,view,,
79,15,46,2024-04-28 23:28:09,view,,
80,15,46,2024-04-28 23:30:09,add_to_cart,172.0,25.12
81,15,46,2024-04-28 23:32:09,checkout,172.0,25.12
82,15,47,2024-04-26 18:14:09,view,,
83,15,48,2024-04-26 09:17:09,view,,
84,15,49,2024-04-14 14:18:09,view,,
85,15,49,2024-04-14 14:20:09,add_to_cart,133.0,14.9
86,16,50,2024-05-11 01:56:11,view,,
87,17,51,2024-01-28 14:27:47,view,,
88,17,52,2024-02-17 18:16:47,view,,
89,17,52,2024-02-17 18:18:47,add_to_cart,156.0,20.28
90,17,53,2024-02-11 20:15:47,view,,
91,17,54,2024-02-15 08:15:47,view,,
92,17,54,2024-02-15 08:17:47,add_to_cart,170.0,25.5
93,17,55,2024-02-10 13:28:47,view,,
94,17,55,2024-02-10 13:30:47,add_to_cart,113.0,16.4
95,18,56,2024-02-10 11:22:23,view,,
96,18,57,2024-02-08 21:41:23,view,,
97,18,57,2024-02-08 21:43:23,add_to_cart,106.0,27.98
98,18,57,2024-02-08 21:45:23,checkout,106.0,27.98
99,18,58,2024-02-08 05:56:23,view,,
100,18,58,2024-02-08 05:58:23,add_to_cart,116.0,19.88
101,18,59,2024-02-08 09:56:23,view,,
102,18,59,2024-02-08 09:58:23,add_to_cart,154.0,22.15
103,18,60,2024-02-03 07:00:23,view,,
104,18,61,2024-02-17 05:39:23,view,,
105,19,62,2024-02-09 19:31:01,view,,
106,19,62,2024-02-09 19:33:01,add_to_cart,131.0,19.87
107,19,63,2024-02-10 13:16:01,view,,
108,19,64,2024-02-21 23:26:01,view,,
109,20,65,2024-06-27 19:04:37,view,,
110,20,66,2024-07-01 16:12:37,view,,
111,20,66,2024-07-01 16:14:37,add_to_cart,113.0,46.91
112,21,67,2024-01-19 22:53:11,view,,
113,21,67,2024-01-19 22:55:11,add_to_cart,124.0,24.42
114,21,68,2024-01-16 14:50:11,view,,
115,21,68,2024-01-16 14:52:11,add_to_cart,165.0,16.94
116,21,69,2024-02-04 06:46:11,view,,
117,21,70,2024-01-11 21:22:11,view,,
118,22,71,2024-03-15 23:51:46,view,,
119,22,72,2024-03-08 17:05:46,view,,
120,22,73,2024-02-27 21:50:46,view,,
121,23,74,2024-01-14 10:15:54,view,,
122,23,75,2024-01-20 18:34:54,view,,
123,23,76,2024-01-24 18:07:54,view,,
124,23,76,2024-01-24 18:09:54,add_to_cart,152.0,32.72
125,24,77,2024-05-29 07:54:36,view,,
126,24,78,2024-06-12 15:09:36,view,,
127,25,79,2024-03-26 11:06:50,view,,
128,25,80,2024-03-30 12:18:50,view,,
129,25,80,2024-03-30 12:20:50,add_to_cart,127.0,16.0
130,25,81,2024-04-14 02:13:50,view,,
131,25,81,2024-04-14 02:15:50,add_to_cart,165.0,26.39
132,26,82,2024-05-09 13:37:52,view,,
133,26,82,2024-05-09 13:39:52,add_to_cart,105.0,12.36
134,26,82,2024-05-09 13:41:52,checkout,105.0,12.36
135,26,83,2024-05-27 08:26:52,view,,
136,26,83,2024-05-27 08:28:52,add_to_cart,180.0,15.41
137,26,84,2024-05-23 05:43:52,view,,
138,26,85,2024-05-07 10:59:52,view,,
139,26,86,2024-05-28 09:35:52,view,,
140,26,86,2024-05-28 09:37:52,add_to_cart,166.0,26.28
141,26,87,2024-05-17 14:27:52,view,,
142,27,88,2024-06-24 08:05:19,view,,
143,27,89,2024-06-22 06:05:19,view,,
144,27,90,2024-06-20 06:13:19,view,,
145,27,91,2024-07-01 12:37:19,view,,
146,28,92,2024-04-13 15:10:59,view,,
147,28,92,2024-04-13 15:12:59,add_to_cart,140.0,31.77
148,28,93,2024-04-13 10:08:59,view,,
149,28,93,2024-04-13 10:10:59,add_to_cart,119.0,26.05
150,28,94,2024-04-13 19:34:59,view,,
151,28,94,2024-04-13 19:36:59,add_to_cart,159.0,23.56
152,28,95,2024-04-17 19:45:59,view,,
153,29,96,2024-04-23 22:00:26,view,,
154,29,97,2024-05-21 00:18:26,view,,
155,29,98,2024-05-11 06:35:26,view,,
156,29,99,2024-05-02 00:52:26,view,,
157,29,99,2024-05-02 00:54:26,add_to_cart,143.0,22.08
158,30,100,2024-06-23 17:49:46,view,,
159,30,101,2024-06-22 18:51:46,view,,
160,30,101,2024-06-22 18:53:46,add_to_cart,154.0,14.62
161,30,101,2024-06-22 18:55:46,checkout,154.0,14.62
162,31,102,2024-01-25 05:29:36,view,,
163,31,103,2024-01-23 03:49:36,view,,
164,31,103,2024-01-23 03:51:36,add_to_cart,110.0,19.07
165,32,104,2024-06-14 13:02:21,view,,
166,32,104,2024-06-14 13:04:21,add_to_cart,103.0,20.88
167,32,105,2024-05-31 11:23:21,view,,
168,32,105,2024-05-31 11:25:21,add_to_cart,116.0,35.52
169,33,106,2024-01-31 17:40:36,view,,
170,33,107,2024-02-22 08:59:36,view,,
171,33,108,2024-01-27 00:50:36,view,,
172,33,109,2024-02-11 04:12:36,view,,
173,33,109,2024-02-11 04:14:36,add_to_cart,125.0,27.67
174,33,109,2024-02-11 04:16:36,checkout,125.0,27.67
175,33,110,2024-02-12 13:22:36,view,,
176,33,111,2024-02-02 04:26:36,view,,
177,34,112,2024-06-17 13:15:15,view,,
178,34,112,2024-06-17 13:17:15,add_to_cart,143.0,13.24
179,34,112,2024-06-17 13:19:15,checkout,143.0,13.24
180,34,113,2024-06-18 18:17:15,view,,
181,34,114,2024-06-24 06:22:15,view,,
182,34,114,2024-06-24 06:24:15,add_to_cart,122.0,27.48
183,34,115,2024-07-04 12:53:15,view,,
184,34,116,2024-07-03 09:03:15,view,,
185,35,117,2024-07-05 11:09:07,view,,
186,35,118,2024-06-17 00:03:07,view,,
187,36,119,2024-03-20 06:51:05,view,,
188,36,119,2024-03-20 06:53:05,add_to_cart,133.0,21.44
189,36,120,2024-04-12 10:33:05,view,,
190,36,121,2024-03-31 14:33:05,view,,
191,37,122,2024-02-10 23:11:07,view,,
192,37,123,2024-02-09 07:44:07,view,,
193,37,124,2024-01-20 01:01:07,view,,
194,37,124,2024-01-20 01:03:07,add_to_cart,131.0,19.36
195,37,125,2024-02-05 03:34:07,view,,
196,37,126,2024-01-29 05:30:07,view,,
197,38,127,2024-03-16 11:40:21,view,,
198,38,127,2024-03-16 11:42:21,add_to_cart,115.0,30.39
199,38,128,2024-04-09 07:06:21,view,,
200,38,128,2024-04-09 07:08:21,add_to_cart,161.0,35.19
201,38,128,2024-04-09 07:10:21,checkout,161.0,35.19
202,38,129,2024-04-03 01:27:21,view,,
203,38,129,2024-04-03 01:29:21,add_to_cart,112.0,33.99
204,39,130,2024-02-28 06:49:30,view,,
205,39,130,2024-02-28 06:51:30,add_to_cart,106.0,18.29
206,39,131,2024-03-20 16:54:30,view,,
207,39,132,2024-03-13 16:06:30,view,,
208,40,133,2024-05-01 05:17:53,view,,
209,40,134,2024-04-16 07:25:53,view,,
210,40,134,2024-04-16 07:27:53,add_to_cart,109.0,22.02
211,41,135,2024-06-12 17:27:37,view,,
212,41,136,2024-05-17 02:07:37,view,,
213,41,137,2024-06-08 04:11:37,view,,
214,41,138,2024-05-25 22:27:37,view,,
215,41,138,2024-05-25 22:29:37,add_to_cart,175.0,27.55
216,41,139,2024-05-23 02:29:37,view,,
217,41,139,2024-05-23 02:31:37,add_to_cart,112.0,34.52
218,42,140,2024-02-17 14:16:42,view,,
219,42,140,2024-02-17 14:18:42,add_to_cart,100.0,20.74
220,42,141,2024-03-04 04:37:42,view,,
221,42,141,2024-03-04 04:39:42,add_to_cart,129.0,22.99
222,43,142,2024-03-21 18:53:47,view,,
223,43,143,2024-03-25 04:18:47,view,,
224,43,143,2024-03-25 04:20:47,add_to_cart,128.0,16.66
225,43,144,2024-03-25 06:37:47,view,,
226,43,144,2024-03-25 06:39:47,add_to_cart,121.0,16.14
227,44,145,2024-05-10 12:36:22,view,,
228,45,146,2024-02-25 17:09:33,view,,
229,45,147,2024-03-17 07:45:33,view,,
230,45,147,2024-03-17 07:47:33,add_to_cart,111.0,32.6
231,45,147,2024-03-17 07:49:33,checkout,111.0,32.6
232,45,148,2024-03-21 16:23:33,view,,
233,45,149,2024-03-18 19:41:33,view,,
234,46,150,2024-06-03 00:18:44,view,,
235,46,151,2024-06-12 07:26:44,view,,
236,46,151,2024-06-12 07:28:44,add_to_cart,142.0,39.44
237,46,152,2024-05-31 09:49:44,view,,
238,46,152,2024-05-31 09:51:44,add_to_cart,163.0,23.92
239,47,153,2024-03-29 02:50:33,view,,
240,47,153,2024-03-29 02:52:33,add_to_cart,151.0,34.86
241,48,154,2024-06-10 10:50:21,view,,
242,48,154,2024-06-10 10:52:21,add_to_cart,163.0,27.84
243,48,155,2024-07-03 06:11:21,view,,
244,48,155,2024-07-03 06:13:21,add_to_cart,116.0,19.57
245,48,156,2024-06-24 04:16:21,view,,
246,48,156,2024-06-24 04:18:21,add_to_cart,180.0,27.84
247,48,157,2024-06-16 09:50:21,view,,
248,49,158,2024-05-01 09:40:41,view,,
249,50,159,2024-05-03 11:03:53,view,,
250,50,159,2024-05-03 11:05:53,add_to_cart,170.0,42.03
251,50,159,2024-05-03 11:07:53,checkout,170.0,42.03
252,50,159,2024-05-03 11:09:53,purchase,170.0,42.03
253,50,160,2024-05-03 20:57:53,view,,
254,50,161,2024-05-04 08:44:53,view,,
255,50,162,2024-04-23 03:42:53,view,,
256,50,162,2024-04-23 03:44:53,add_to_cart,138.0,24.23
257,51,163,2024-05-08 02:24:19,view,,
258,51,164,2024-05-10 03:30:19,view,,
259,51,165,2024-05-19 21:04:19,view,,
260,51,165,2024-05-19 21:06:19,add_to_cart,149.0,42.42
261,51,165,2024-05-19 21:08:19,checkout,149.0,42.42
262,51,166,2024-04-24 01:29:19,view,,
263,51,167,2024-05-22 03:38:19,view,,
264,52,168,2024-06-19 16:57:19,view,,
265,52,169,2024-06-30 11:50:19,view,,
266,53,170,2024-04-02 19:59:21,view,,
267,53,171,2024-04-07 04:59:21,view,,
268,53,172,2024-04-18 20:10:21,view,,
269,53,173,2024-04-26 11:38:21,view,,
270,53,174,2024-04-19 10:05:21,view,,
271,53,174,2024-04-19 10:07:21,add_to_cart,108.0,9.81
272,53,174,2024-04-19 10:09:21,checkout,108.0,9.81
273,53,175,2024-04-08 01:11:21,view,,
274,53,175,2024-04-08 01:13:21,add_to_cart,112.0,32.71
275,54,176,2024-05-25 17:21:08,view,,
276,54,176,2024-05-25 17:23:08,add_to_cart,107.0,25.29
277,54,177,2024-05-28 07:04:08,view,,
278,54,177,2024-05-28 07:06:08,add_to_cart,152.0,22.09
279,54,178,2024-06-10 22:30:08,view,,
280,54,178,2024-06-10 22:32:08,add_to_cart,178.0,25.33
281,54,179,2024-06-05 15:41:08,view,,
282,54,180,2024-06-03 21:15:08,view,,
283,54,181,2024-05-25 08:03:08,view,,
284,55,182,2024-07-08 01:00:02,view,,
285,55,182,2024-07-08 01:02:02,add_to_cart,154.0,12.24
286,56,183,2024-04-02 01:05:33,view,,
287,56,184,2024-04-17 03:05:33,view,,
288,56,184,2024-04-17 03:07:33,add_to_cart,150.0,22.72
289,56,184,2024-04-17 03:09:33,checkout,150.0,22.72
290,56,185,2024-04-19 18:40:33,view,,
291,56,186,2024-04-25 02:46:33,view,,
292,57,187,2024-04-03 08:26:04,view,,
293,57,188,2024-03-29 13:14:04,view,,
294,57,189,2024-03-19 00:58:04,view,,
295,57,190,2024-04-01 14:25:04,view,,
296,57,191,2024-03-20 00:06:04,view,,
297,57,191,2024-03-20 00:08:04,add_to_cart,169.0,27.8
298,57,192,2024-03-21 04:03:04,view,,
299,58,193,2024-07-03 17:49:58,view,,
300,58,194,2024-06-12 11:04:58,view,,
301,58,195,2024-07-04 05:17:58,view,,
302,59,196,2024-06-05 14:40:00,view,,
303,59,196,2024-06-05 14:42:00,add_to_cart,147.0,41.15
304,59,197,2024-06-26 14:35:00,view,,
305,59,197,2024-06-26 14:37:00,add_to_cart,147.0,20.46
306,59,197,2024-06-26 14:39:00,checkout,147.0,20.46
307,59,198,2024-06-06 02:47:00,view,,
308,59,198,2024-06-06 02:49:00,add_to_cart,178.0,18.49
309,59,198,2024-06-06 02:51:00,checkout,178.0,18.49
310,59,198,2024-06-06 02:53:00,purchase,178.0,18.49
311,59,199,2024-07-05 05:34:00,view,,
312,60,200,2024-02-07 19:41:57,view,,
313,60,200,2024-02-07 19:43:57,add_to_cart,168.0,20.58
314,60,200,2024-02-07 19:45:57,checkout,168.0,20.58
315,60,201,2024-02-14 15:30:57,view,,
316,60,201,2024-02-14 15:32:57,add_to_cart,119.0,33.8
317,60,202,2024-02-12 19:06:57,view,,
318,61,203,2024-03-09 15:44:00,view,,
319,61,203,2024-03-09 15:46:00,add_to_cart,147.0,27.52
320,61,204,2024-03-15 19:55:00,view,,
321,61,204,2024-03-15 19:57:00,add_to_cart,124.0,20.38
322,61,205,2024-03-25 23:12:00,view,,
323,61,206,2024-03-16 05:30:00,view,,
324,62,207,2024-01-16 22:02:46,view,,
325,62,207,2024-01-16 22:04:46,add_to_cart,127.0,29.36
326,62,208,2024-01-18 06:54:46,view,,
327,62,209,2024-01-29 19:47:46,view,,
328,62,210,2024-01-15 00:08:46,view,,
329,62,210,2024-01-15 00:10:46,add_to_cart,122.0,25.38
330,62,210,2024-01-15 00:12:46,checkout,122.0,25.38
331,62,211,2024-01-14 20:12:46,view,,
332,63,212,2024-02-24 06:37:29,view,,
333,63,213,2024-03-03 08:42:29,view,,
334,63,213,2024-03-03 08:44:29,add_to_cart,157.0,34.43
335,64,214,2024-04-17 12:50:44,view,,
336,64,215,2024-05-09 14:20:44,view,,
337,64,215,2024-05-09 14:22:44,add_to_cart,103.0,19.19
338,64,215,2024-05-09 14:24:44,checkout,103.0,19.19
339,64,216,2024-04-22 06:24:44,view,,
340,64,216,2024-04-22 06:26:44,add_to_cart,156.0,21.87
341,64,216,2024-04-22 06:28:44,checkout,156.0,21.87
342,64,216,2024-04-22 06:30:44,purchase,156.0,21.87
343,64,217,2024-04-11 20:09:44,view,,
344,64,218,2024-04-28 10:34:44,view,,
345,64,218,2024-04-28 10:36:44,add_to_cart,176.0,21.39
346,65,219,2024-04-24 02:25:01,view,,
347,66,220,2024-06-03 17:16:29,view,,
348,66,220,2024-06-03 17:18:29,add_to_cart,158.0,14.7
349,66,221,2024-05-29 12:43:29,view,,
350,66,221,2024-05-29 12:45:29,add_to_cart,132.0,27.21
351,66,222,2024-05-11 08:55:29,view,,
352,66,222,2024-05-11 08:57:29,add_to_cart,110.0,26.88
353,66,222,2024-05-11 08:59:29,checkout,110.0,26.88
354,66,222,2024-05-11 09:01:29,purchase,110.0,26.88
355,66,223,2024-05-31 13:55:29,view,,
356,66,223,2024-05-31 13:57:29,add_to_cart,171.0,24.58
357,67,224,2024-06-09 16:55:17,view,,
358,67,224,2024-06-09 16:57:17,add_to_cart,136.0,22.6
359,67,225,2024-05-21 06:01:17,view,,
360,67,226,2024-05-15 00:53:17,view,,
361,67,226,2024-05-15 00:55:17,add_to_cart,113.0,14.95
362,67,227,2024-05-27 15:01:17,view,,
363,67,228,2024-05-28 10:12:17,view,,
364,67,229,2024-06-03 23:42:17,view,,
365,68,230,2024-04-23 11:54:43,view,,
366,69,231,2024-07-25 03:33:34,view,,
367,69,232,2024-06-30 03:30:34,view,,
368,70,233,2024-01-20 14:21:20,view,,
369,70,233,2024-01-20 14:23:20,add_to_cart,139.0,21.17
370,70,234,2024-01-31 18:14:20,view,,
371,70,234,2024-01-31 18:16:20,add_to_cart,106.0,21.76
372,70,234,2024-01-31 18:18:20,checkout,106.0,21.76
373,70,235,2024-01-08 21:52:20,view,,
374,70,235,2024-01-08 21:54:20,add_to_cart,154.0,18.53
375,70,236,2024-01-21 13:00:20,view,,
376,70,236,2024-01-21 13:02:20,add_to_cart,165.0,23.19
377,70,236,2024-01-21 13:04:20,checkout,165.0,23.19
378,71,237,2024-03-03 13:30:27,view,,
379,71,237,2024-03-03 13:32:27,add_to_cart,126.0,28.26
380,72,238,2024-02-14 00:40:18,view,,
381,72,239,2024-02-16 04:49:18,view,,
382,72,240,2024-02-18 17:29:18,view,,
383,73,241,2024-06-07 04:02:54,view,,
384,73,242,2024-06-07 23:50:54,view,,
385,73,242,2024-06-07 23:52:54,add_to_cart,151.0,47.47
386,73,243,2024-06-18 23:01:54,view,,
387,73,243,2024-06-18 23:03:54,add_to_cart,141.0,26.08
388,73,243,2024-06-18 23:05:54,checkout,141.0,26.08
389,73,244,2024-06-20 12:41:54,view,,
390,73,244,2024-06-20 12:43:54,add_to_cart,113.0,26.85
391,73,244,2024-06-20 12:45:54,checkout,113.0,26.85
392,73,245,2024-06-21 15:50:54,view,,
393,73,246,2024-06-29 00:44:54,view,,
394,73,246,2024-06-29 00:46:54,add_to_cart,121.0,23.9
395,73,246,2024-06-29 00:48:54,checkout,121.0,23.9
396,74,247,2024-05-06 22:48:51,view,,
397,74,247,2024-05-06 22:50:51,add_to_cart,118.0,12.53
398,74,247,2024-05-06 22:52:51,checkout,118.0,12.53
399,74,247,2024-05-06 22:54:51,purchase,118.0,12.53
400,74,248,2024-05-07 23:09:51,view,,
401,74,248,2024-05-07 23:11:51,add_to_cart,180.0,24.31
402,74,249,2024-05-07 20:01:51,view,,
403,74,249,2024-05-07 20:03:51,add_to_cart,172.0,25.06
404,75,250,2024-05-03 22:28:56,view,,
405,75,251,2024-05-26 15:50:56,view,,
406,75,251,2024-05-26 15:52:56,add_to_cart,164.0,58.1
407,75,251,2024-05-26 15:54:56,checkout,164.0,58.1
408,75,252,2024-05-02 08:24:56,view,,
409,75,253,2024-05-04 04:28:56,view,,
410,76,254,2024-05-08 06:36:26,view,,
411,76,254,2024-05-08 06:38:26,add_to_cart,177.0,22.94
412,76,255,2024-04-12 13:12:26,view,,
413,76,255,2024-04-12 13:14:26,add_to_cart,143.0,27.26
414,76,256,2024-04-11 04:19:26,view,,
415,76,256,2024-04-11 04:21:26,add_to_cart,131.0,24.24
416,76,257,2024-04-23 04:59:26,view,,
417,77,258,2024-04-05 03:25:14,view,,
418,77,259,2024-04-06 13:25:14,view,,
419,77,259,2024-04-06 13:27:14,add_to_cart,142.0,16.3
420,77,259,2024-04-06 13:29:14,checkout,142.0,16.3
421,77,260,2024-03-21 00:29:14,view,,
422,77,261,2024-04-11 12:27:14,view,,
423,77,261,2024-04-11 12:29:14,add_to_cart,174.0,36.6
424,78,262,2024-07-16 03:13:53,view,,
425,78,263,2024-07-17 11:32:53,view,,
426,79,264,2024-06-20 23:50:43,view,,
427,79,264,2024-06-20 23:52:43,add_to_cart,127.0,31.92
428,79,265,2024-07-04 15:48:43,view,,
429,79,265,2024-07-04 15:50:43,add_to_cart,117.0,32.36
430,79,265,2024-07-04 15:52:43,checkout,117.0,32.36
431,79,266,2024-07-05 02:40:43,view,,
432,79,267,2024-07-06 17:11:43,view,,
433,79,268,2024-07-08 20:18:43,view,,
434,80,269,2024-02-14 00:21:11,view,,
435,80,269,2024-02-14 00:23:11,add_to_cart,130.0,17.84
436,80,270,2024-02-19 08:35:11,view,,
437,80,271,2024-02-07 17:05:11,view,,
438,80,271,2024-02-07 17:07:11,add_to_cart,160.0,40.08
439,80,272,2024-02-06 11:25:11,view,,
440,80,273,2024-02-14 14:37:11,view,,
441,80,274,2024-02-16 16:52:11,view,,
442,81,275,2024-06-09 12:52:20,view,,
443,81,276,2024-06-24 18:29:20,view,,
444,81,277,2024-07-04 19:14:20,view,,
445,81,277,2024-07-04 19:16:20,add_to_cart,120.0,15.02
446,81,277,2024-07-04 19:18:20,checkout,120.0,15.02
447,82,278,2024-02-27 02:36:40,view,,
448,82,278,2024-02-27 02:38:40,add_to_cart,150.0,30.13
449,82,279,2024-02-06 03:51:40,view,,
450,82,279,2024-02-06 03:53:40,add_to_cart,103.0,52.81
451,82,280,2024-02-02 12:52:40,view,,
452,82,281,2024-02-02 15:59:40,view,,
453,83,282,2024-04-01 20:29:58,view,,
454,83,282,2024-04-01 20:31:58,add_to_cart,119.0,17.35
455,83,283,2024-04-25 14:33:58,view,,
456,83,283,2024-04-25 14:35:58,add_to_cart,136.0,20.12
457,83,283,2024-04-25 14:37:58,checkout,136.0,20.12
458,83,283,2024-04-25 14:39:58,purchase,136.0,20.12
459,83,284,2024-04-15 15:35:58,view,,
460,83,285,2024-04-05 10:50:58,view,,
461,83,286,2024-04-22 11:22:58,view,,
462,83,286,2024-04-22 11:24:58,add_to_cart,118.0,25.4
463,84,287,2024-01-14 13:40:25,view,,
464,84,288,2024-01-17 19:35:25,view,,
465,84,289,2024-01-19 00:36:25,view,,
466,84,290,2024-01-13 23:19:25,view,,
467,84,291,2024-01-12 15:56:25,view,,
468,84,291,2024-01-12 15:58:25,add_to_cart,108.0,20.57
469,85,292,2024-05-23 19:46:09,view,,
470,85,292,2024-05-23 19:48:09,add_to_cart,122.0,14.26
471,85,293,2024-06-12 23:36:09,view,,
472,86,294,2024-02-14 16:20:37,view,,
473,87,295,2024-07-03 18:36:56,view,,
474,87,295,2024-07-03 18:38:56,add_to_cart,124.0,25.13
475,87,296,2024-07-18 01:41:56,view,,
476,87,296,2024-07-18 01:43:56,add_to_cart,115.0,16.91
477,87,297,2024-07-04 13:43:56,view,,
478,87,297,2024-07-04 13:45:56,add_to_cart,149.0,28.96
479,87,298,2024-06-26 17:00:56,view,,
480,87,299,2024-07-20 17:47:56,view,,
481,88,300,2024-06-16 10:35:40,view,,
482,88,300,2024-06-16 10:37:40,add_to_cart,113.0,17.78
483,88,300,2024-06-16 10:39:40,checkout,113.0,17.78
484,88,301,2024-05-30 19:39:40,view,,
485,88,302,2024-05-27 03:58:40,view,,
486,88,302,2024-05-27 04:00:40,add_to_cart,105.0,42.2
487,88,303,2024-06-19 16:28:40,view,,
488,88,304,2024-05-30 02:15:40,view,,
489,88,304,2024-05-30 02:17:40,add_to_cart,151.0,18.65
490,89,305,2024-06-26 04:19:40,view,,
491,89,305,2024-06-26 04:21:40,add_to_cart,130.0,21.92
492,89,306,2024-06-16 01:43:40,view,,
493,89,307,2024-06-06 10:01:40,view,,
494,89,308,2024-07-05 02:01:40,view,,
495,89,308,2024-07-05 02:03:40,add_to_cart,109.0,32.61
496,89,309,2024-06-21 01:53:40,view,,
497,89,309,2024-06-21 01:55:40,add_to_cart,135.0,15.95
498,89,309,2024-06-21 01:57:40,checkout,135.0,15.95
499,89,309,2024-06-21 01:59:40,purchase,135.0,15.95
500,90,310,2024-05-01 06:35:48,view,,
501,90,310,2024-05-01 06:37:48,add_to_cart,178.0,26.57
502,90,311,2024-05-06 14:27:48,view,,
503,90,311,2024-05-06 14:29:48,add_to_cart,109.0,38.76
504,90,312,2024-05-05 12:53:48,view,,
505,91,313,2024-06-30 14:18:52,view,,
506,91,314,2024-07-06 04:18:52,view,,
507,91,314,2024-07-06 04:20:52,add_to_cart,146.0,13.98
508,91,315,2024-06-16 11:15:52,view,,
509,91,315,2024-06-16 11:17:52,add_to_cart,163.0,26.17
510,91,315,2024-06-16 11:19:52,checkout,163.0,26.17
511,91,316,2024-06-24 20:21:52,view,,
512,91,316,2024-06-24 20:23:52,add_to_cart,111.0,26.87
513,91,316,2024-06-24 20:25:52,checkout,111.0,26.87
514,91,317,2024-07-05 20:44:52,view,,
515,91,317,2024-07-05 20:46:52,add_to_cart,152.0,32.25
516,92,318,2024-01-30 06:54:11,view,,
517,92,318,2024-01-30 06:56:11,add_to_cart,170.0,15.91
